"id";"data_inversa";"dia_semana";"horario";"uf";"br";"km";"municipio";"causa_acidente";"tipo_acidente";"classificacao_acidente";"fase_dia";"sentido_via";"condicao_metereologica";"tipo_pista";"tracado_via";"uso_solo";"pessoas";"mortos";"feridos_leves";"feridos_graves";"ilesos";"ignorados";"feridos";"veiculos";"latitude";"longitude";"regional";"delegacia";"uop"
336842;2021-01-27;"quarta";"06:48:00";"ES";101;"286.2";"CARIACICA";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Não Informado";"Sim";2;0;0;1;1;0;1;2;-20,25902175;-40,37753412;"SR-ES";"UOP01";"DEL01"
336843;2021-01-27;"quarta";"06:50:00";"MG";50;"47";"ARAGUARI";"Velocidade Incompatível";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Curva";"Não";1;0;1;0;0;0;1;1;-18,72799811;-48,20659169;"SR-MG";"UOP02";"DEL15"
336845;2021-01-27;"quarta";"07:15:00";"PR";116;"6";"QUATRO BARRAS";"Reação tardia ou ineficiente do condutor";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Não";2;0;2;0;0;0;2;1;-25,3669;-49,0996;"SR-PR";"UOP02";"DEL01"
336846;2021-01-27;"quarta";"07:50:00";"PE";101;"26";"IGARASSU";"Acumulo de água sobre o pavimento";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Chuva";"Dupla";"Não Informado";"Não";2;0;1;0;1;0;1;2;-7,70826223;-34,92811677;"SR-PE";"UOP02";"DEL01"
336847;2021-01-27;"quarta";"08:10:00";"MG";40;"527";"CONTAGEM";"Condutor deixou de manter distância do veículo da frente";"Colisão lateral mesmo sentido";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;0;1;1;0;1;2;-19,90149502;-44,04938939;"SR-MG";"UOP02";"DEL01"
336848;2021-01-27;"quarta";"07:55:00";"SC";101;"36";"JOINVILLE";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;0;1;2;0;1;3;-26,24573198;-48,9101069;"SR-SC";"UOP01";"DEL03"
336849;2021-01-27;"quarta";"07:30:00";"PB";101;"95.9";"CONDE";"Avarias e/ou desgaste excessivo no pneu";"Tombamento";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Sol";"Dupla";"Não Informado";"Não";2;0;1;1;0;0;2;1;-7,22379403;-34,91488195;"SR-PB";"UOP02";"DEL01"
336850;2021-01-27;"quarta";"05:30:00";"DF";70;"9";"BRASILIA";"Acumulo de água sobre o pavimento";"Queda de ocupante de veículo";"Com Vítimas Feridas";"Amanhecer";"Crescente";"Nublado";"Dupla";"Retorno Regulamentado";"Sim";1;0;0;1;0;0;1;1;-15,784615;-48,132023;"SR-DF";"UOP03";"DEL01"
336851;2021-01-27;"quarta";"07:45:00";"PR";373;"244";"GUAMIRANGA";"Condutor deixou de manter distância do veículo da frente";"Colisão traseira";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Nublado";"Simples";"Curva";"Não";2;0;0;1;1;0;1;2;-25,1905309;-50,79562196;"SR-PR";"UAP01";"DEL03"
336852;2021-01-27;"quarta";"08:20:00";"SC";101;"327.2";"CAPIVARI DE BAIXO";"Desrespeitar a preferência no cruzamento";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Nublado";"Simples";"Rotatória";"Sim";2;0;1;0;1;0;1;2;-28,43917696;-48,96242738;"SR-SC";"UOP01";"DEL02"
336854;2021-01-27;"quarta";"09:00:00";"SC";101;"119";"ITAJAI";"Manobra de mudança de faixa";"Colisão lateral";"Sem Vítimas";"Pleno dia";"Decrescente";"Céu Claro";"Múltipla";"Reta";"Sim";3;0;0;0;3;0;0;2;-26,9043179;-48,71555481;"SR-SC";"UOP04";"DEL04"
336855;2021-01-27;"quarta";"08:20:00";"GO";20;"7";"FORMOSA";"Reação tardia ou ineficiente do condutor";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Céu Claro";"Simples";"Reta";"Não";3;0;2;0;1;0;2;2;-15,547604;-47,291592;"SR-DF";"UOP01";"DEL02"
336856;2021-01-27;"quarta";"09:00:00";"DF";40;"2.5";"BRASILIA";"Manobra de mudança de faixa";"Colisão lateral";"Com Vítimas Feridas";"Pleno dia";"Decrescente";"Céu Claro";"Dupla";"Reta";"Sim";2;0;1;0;1;0;1;2;-15,99435;-47,985947;"SR-DF";"UOP01";"DEL01"
336857;2021-01-27;"quarta";"07:30:00";"RS";386;"241";"SOLEDADE";"Avarias e/ou desgaste excessivo no pneu";"Colisão transversal";"Com Vítimas Feridas";"Pleno dia";"Crescente";"Chuva";"Simples";"Reta";"Não";2;0;1;0;1;0;1;2;-28,774895;-52,533451;"SR-RS";"UOP03";"DEL04"
